WAR,BAL
PAX,CAN
ART,ÇAY
LAW,GÖL
GUN,AYI
SPY,KUŞ
SKY,YOL
TEA,TOP
ACT,ARI
BUS,KIZ
DNA,YER
WEB,YÜZ
ICE,CAM
CAR,MUM
JET,SAP
OIL,JET
CRY,KÜP
POD,KAT
OAK,ÇEK
MUD,ÇIK
ASH,VAR
FUN,KAP
JOY,KÖR
KEY,KÜL
PEN,KAN
AXIS,KAPI
NAVY,BACA
VOTE,SARI
KING,KAZA
COAL,YAZI
ARCH,KİRA
MARS,UYKU
SILK,AÇIK
CODE,SENE
GOLD,KEDİ
LAND,KUYU
MOON,ARTI
FARM,ÇALI
RAIL,DOST
BOOK,ELMA
PORT,FARK
JAZZ,HALI
ATOM,İNCİ
BOMB,MASA
CHIP,NOTA
CITY,OYUN
DATA,PARA
DRUG,RÜYA
FIRE,RÜYA
LOVE,TAVA
GENE,UÇAK
GAME,VAZO
HOPE,DAMA
HACK,TREN
WORLD,BİNA
YEAR,KUZU
XRAY,KALE
PEACE,EVREN
CROWN,İNSAN
MARCH,GÜNEŞ
SLAVE,GİTAR
TRADE,KALEM
STEEL,KİTAP
POWER,BULUT
UNION,DENİZ
RIGHTS,MİRAS
PLAGUE,YOLCU
FLEET,BALON
GRAIN,RADYO
MONEY,BEBEK
SIEGE,ÇOCUK
REBEL,SARAY
FAITH,KUZEY
PRESS,GÜNEY
DRAFT,BEYAZ
TORCH,YEŞİL
OCEAN,SİYAH
HORSE,BAŞAK
SPEAR,ÇİÇEK
ARMOR,BAHAR
NOBLE,DÜNYA
QUEST,ŞEHİR
WITCH,TATİL
SPICE,ARABA
CANAL,MELEK
VALOR,GÜZEL
EMPIRE,ANKARA
TREATY,MEKTUP
COLONY,PARLAK
MARKET,SAĞLIK
TEMPLE,DOĞMAK
CASTLE,GÜLMEK
KNIGHT,YÜZMEK
FOREST,BALİNA
MUSEUM,KALMAK
FABRIC,GİTMEK
BRONZE,YAZMAK
SILVER,BULMAK
RITUAL,BİLMEK
LEGEND,ÇİZMEK
PIRATE,GELMEK
PALACE,SEVMEK
STATUE,SİLMEK
FAMINE,SORMAK
BATTLE,KORKAK
VOYAGE,DÜŞMEK
GUITAR,BİRLİK
FREEDOM,ÖĞRENCİ
CULTURE,SANATÇI
DYNASTY,TARİHÇİ
CAPITAL,DOSTLUK
HISTORY,KİRALIK
SOLDIER,GELECEK
EXPLORE,HASTANE
JOURNEY,FABRİKA
ANCIENT,PENCERE
FICTION,SEYAHAT
LIBRARY,MANZARA
ECONOMY,SEVGİLİ
COUNTRY,DENİZCİ
NATURAL,DÜNYADA
SCIENCE,ANLAŞMA
ARTISAN,YAZILIM
MYSTERY,MESAJIN
DIGITAL,ZİYARET
DISCOVERY,BAŞLAMAK
CAMPAIGN,ANLATMAK
MONARCHY,UYGULAMA
RELIGION,KATILMAK
CRUSADER,BEKLEMEK
COLONIAL,DÜŞÜNMEK
EPIDEMIC,SÖYLEMEK
CURRENCY,GÖRÜNMEK
MILITARY,YARATMAK
FESTIVAL,ÖĞRENMEK
MARITIME,HATIRLAT
STRATEGY,YAZILMAK
HERITAGE,PAYLAŞMA
TEACHING,GÖSTERME
MEDICINE,BİTİRMEK
POLITICS,KAVRAMAK
COMMERCE,FARKETME
AGRICULTURE,DOĞASEVER
ARCHAEOLOGY,ARKEOLOJİ
CAPITALISM,BİLGİSAYAR
CIVILWAR,MACERALAR
CIVILIZATION,EĞLENCELER
COLONIZATION,OYUNCAKLAR
COMMUNISM,ARKADAŞLIK
CONFEDERATION,HAYVANLAR
CONSTITUTION,DİNOZORLAR
CONTINENT,GÖZLEMEVİ
DEMOCRACY,BİLGİSAYAR
DEMOCRATIZATION,ÇİZGİFİLMLER
DIPLOMACY,BULMACALAR
EMANCIPATION,MUTLULUKLAR
ENLIGHTENMENT,UÇURTMALAR
EXPEDITION,YOLCULUKLAR
EXPLORATION,SERÜVENLER
FEDERATION,DOSTLUKLAR
GLOBALWAR,ÖZGÜRLÜKLER
GLOBALIZATION,ARKADAŞLIKLAR
HUMANRIGHTS,HAYVANSEVER
INDEPENDENCE,KİTAPLARIMIZ
INDUSTRIAL,BİSİKLETLER
INDUSTRIALIZATION,ÇİZİMLERİMİZ
INFORMATIONAGE,BİLİM İNSANLARI
INNOVATION,BULUŞLARIMIZ
LEGISLATION,ARKADAŞLARIM
LIBERALISM,BİLGİSAYAR OYUNU
NATIONALISM,MASALLARIMIZ
NAVIGATION,FOTOĞRAFLAR
NEOLIBERALISM,OYUN ARKADAŞI
OBSERVATORY,GÖZLEMEVİ
PHILANTHROPY,DOĞASEVERLER
PHILOSOPHY,MACERACILAR
PROPAGANDA,DÜŞLERİMİZ
REVOLUTION,OYUNLARIMIZ
SECULARISM,RÜYALARIMIZ
SOCIALISM,ARKADAŞLAR
SUSTAINABILITY,SAĞLIKLI YAŞAM
TECHNOLOGY,TEKNOLOJİ
URBANIZATION,TATİLLERİMİZ
TOTALITARIAN,MÜKEMMELLİK
TERRITORY,KİTAPLIK
SOVEREIGN,HATIRALAR
REVOLUTIONARY,GERÇEKÇİLİK
REPUBLICANISM,DEĞERLENDİRME
RENAISSANCE,MADENCİLER
REFORMATION,ARAŞTIRMAK
PATRIARCH,YENİLİKÇİ
NOMADICTRIBE,SORUMLULUK